title,tags
Sissy,".paranoid scum attack x gentl and weak. li chengxiu tast the bitter of life at a young age and long to be loved. shao qun ha a promin background, and hi stubborn and uninhibit charact of the second gener ancestor wa brought to the extrem in middl school. he wa close due to curiosity. from bulli to be attracted, the sentiment sentiment happen at the wrong time a more.['niang niang qiang, 娘娘腔', 'mizuchiei', 'ongoing', 'drama - romanc - shounen ai']"
Love Logic (Jeong Hyeon),"bad luck? fate? that' never been in the card for mathemat geniu kang heeseo. what he trust are cold hard facts, base on onli physic and probability. but hi whole world goe toppl down when he' face with one doh hanbyeol from the popular idol group illogic. heeseo find truth and beauti in hanbyeol' beauti face, and there' no stop him from go to the illog concert. but t more.['러브로직', 'jeonghyun - bori', 'ongoing', 'drama - romanc - webtoon - yaoi']"
Stay With Me,"the hottest and most popular model on sn these days, choi bom. born with a good-look appearance, he accident becam a trend, post a job offer for a housekeep on hi sns. and after a while, a man come to visit say that he will work as a housekeeper... hi best friend and first love, who disappear 7 year ago ... more.['스테이 위드 미', 'pufu', 'ongoing', 'romanc - slice of life - erotica']"
To a New Life,"humanity' strongest regress action fantasy. ""even if the disgust god did it, they still gave the opportunity. if you want to wedg you have to kill them"". zephir, the last survivior of mankind. the lone battl with demon lord end id defeat, but the opportun given by the god bring us back 10 year ago. the god who treat demon and human as a shit. more.['updating', 'ongoing', 'action - adventur - fantasy']"
Drawing Romance,"chan-woo find it difficult talk to sul-hee, who alway seem to be angri about something. however, what he say to her actual make her heart beat like crazy! a sweet, romant stori of a young couple' first love! more.['sagak romanc ; 사각사각 로맨스; draw romanc (official)', 'chocochip', 'ongoing', 'comedi - drama - romanc - school life - webtoon - manhwa']"
Arpeggio on Sea Surface,"more.['해수면의 아르페지오 ; arpeggio on sea surface', 'wabec', 'ongoing', 'drama - yaoi']"
Kotaete My Drifter,"it' the hedonist new york of the roar '20s. one night at a dazzl parti elliot meet robert, a suspici suav man who remind him of hi first love. the two handsom gentlemen hit it off right away and soon their relationship take a romant turn... however, the path of histori are often cruel. can they withstand the challeng thrown at them? let ooshima kamome' newest work captiva more.[]"
Papa Told Me,"stori about a novelist and hi daughter, chise-chan, elementari school girl in tokyo. becaus chise' mama die when she wa veri young, papa take care of her. she love papa so much that she carri papa' photo at a magazin interview instead of the idol stars' photos, and she' veri happi that her papa' work at home becaus that way she can be with papa almost all more.[]"
The World After the Fall,"human were suddenli summon to becom “walkers”, and they need to clear the tower to save the world. then, the “regress stone” wa discovered. walker could now “return” to the past. and slowly… everyon left. humanity' last hope, “carp diem”, wa form by peopl who refus to abandon the world. but onc more.['멸망 이후의 세계 ; the world after the end ; мир после разрушения', 'sing n song (싱숑) - s-cynan', 'ongoing', 'action - adventur - drama - fantasi - webtoon - manhwa']"
I'll Save the Heroine!,"imagin lee sangyeo' surpris when she wake up one day insid her favorit novel... and her horror when she realiz she' in the bodi of the ador heroine' evil sister-in-law, ayle brydon! know that the stori will end terribl if noth changes, ayle is determin to save the heroin at all costs. however, her complet charact revers lead to problem in high societi and caus fr more.['whi do i have to be the sister-in-law? ; whi do you have to be sister-in-law? ; whi sister-in-law? ; どうして悪役小姑なんですか！？ ; 改变嫂子的be结局 ; 왜 하필 시누이죠?', 'dok yeon - kim wootz', 'ongoing', 'action - comedi - drama - fantasi - josei - romanc - shoujo - webtoon - manhwa']"
Apex Future Martial Arts,"at the begin of the martial dao, abnorm beast invad the world. humanity’ martial had to retreat in defeat time and time again. lu sheng transmigr to that time, but in hi dream he enter a world 10 000 year later. the foundat bodi refin method from 10k year in the futur is sever thousand time more effect than the current one. then there’ the breath method, bodi more.[""gao wu: denglu weilai yi wan nian ; gāo wǔ: dēnglù wèilái yī wàn nián ; log 10,000 year into the futur ; martial art: future' ten thousand year ; 高武：登陆未来一万年"", '常盘勇者', 'ongoing', 'action - fantasi - martial arts']"
The Player Hides His Past,"[bi the studio that brought you and !]the virtual realiti game ""histori of the archana continent"" becam part of reality, and ""players"" who were synchron with human appear to protect the world. lee hoyeol, who wa an ordinari salaryman, took over the bodi of the charact he creat in middl school, ""grandfel claudi arpeu romeo."" under normal circumstances, it would have been an absolut more.['th player hide hi past', 'gaechaban - bethes', 'ongoing', 'action - adventur - comedi - fantasi - manhwa']"
Habibi's Rabbits,"myowol-guk, where rabbit spirit creatur 'myoin' gather. nungso, the 101st princ of myowol-guk, who is mix with human blood and is bullied, receiv the follow task for come of age. ""rescu the sacr and honor 'moon rabbit' captur by evil human and bring him back safely."" haru, a dalgona-color brown rabbit imprison in more.[""하비비의 토끼들;habibi' rabbits"", 'dong gobi mum - gongil', 'ongoing', 'comedi - fantasi - yaoi']"
Portrait,"portrait at in 18th centuri europe, the painter whip blemeur wa commiss to paint a portrait of hi daughter from the famili of count cleiton. however, he send hi discipl heli insteadth portraitmangabuddi is a websit dedic to fan of anime, , , , video games, and cosplay. where you may find all of your anime-rel memes, recommendations, reviews, manga recommendations, charact fa more.[]"
How to Diet as a Lady,"from the novel:diet? what is it? it wa me who had live my whole life as a mother-to-be.but who the he** is thi moonbal reflect in the mirror?when i came to my senses, i wa alreadi in the bridl of merciless grass cut and 100 endless squats. i might die befor lose weight.""how about it, is it worth it?""it' becaus of that devilish master!but even in that he**, a romanc final sprout more.[]"
The groom disappeared,"the groom disappear / / sarang jin is one of the most famou actress in south korea, and she ha it alltalent, good looks, and a love fianc... or not! one week befor their wedding, her groom-to-b ghost her. she desper search everywher for inha, onli to discov he' lie to her throughout their entir relationship. to her dismay, hi secret trigger her own person misfortun more.['th groom disappear / 消失的新郎 / 신랑이 사라졌다', 'bangja', 'ongoing', 'drama - josei - romance']"
Shadow Hack,"by coincidence, li yunmu found a super machin from humanity' age of darkness. from that point onwards, hi ordinari life would never be the same! aptitude? innat talent? what are these? could they be eaten? i have neither aptitud nor innat skill, but my shadow can level up use hacks. experience, abil points, battl prowess…….al of them could be hacked. even while he is asleep or tired, more.['great lord of cloudland', 'ongoing', 'action - drama - fantasi - sci fi']"
The Song of Theodor,"dure her childhood years, sienna, the vivaci princess of the western empire, and latio, the princ of the northern kingdom who wa sent over as a polit hostage, had a fate encounter. the two gradual open their heart to each other, while the young king nyah of the eastern empir observ them from the shadows… alas, the tranquil peac between the three kingdom wa but a more.[]"
Unquenchable Thirst,"yeonji, the tenaci breadwinn of her family, had a bite-fil one-night stand with joonwon. he reappear six year later, thi time as the infam vice presid of her company. struggl as a temp, she clumsili tri to avoid hi attent until joonwon plop her into hi person office. strang enough, he won't let her forget ani detail from that night. will he drag her into the twist more.[]"
The Immortal Doctor,"univers student tang qian, in an antiqu shop to help the owner hit hi head when a dan furnace, sinc there ha been a strang ability, he alway ha an old man in the brain to speak, whenev you see the patient will automat tell the symptom and prescription, let a person back to life, and he want to use thi abil to… more.['th immort doctor ; clairvoy doctor ; doctor miracl ; mata tembu pandang sang tabib dewa ; perspect of immort doctor ; the divin doctor ; tiên y nhìn xuyên thấu ; 透视仙医', 'daxingdao comic - xiaomingtaiji - daxingdao anim - shili jianshen', 'ongoing', 'action - adventur - comedi - fantasi - harem - webtoon - isekai']"
Martial Peak,"the journey to the martial peak is a lonely, solitari and long one.in the face of adversity,y must surviv and remain unyielding.onli then can you break through and and continu on your journey to becom the strongest. ski tower test it discipl in the harshest way to prepar them for thi journey.on day the lowli sweeper yang kai manag to obtain a black book, set him on the road t more.['wǔ liàn diān fēng ; wǔ liàn diānfēng ; вершина боевых искусств ; пик боевых искусств ; 武炼巅峰 ; võ luyện đỉnh phong ; wu lian dian feng ; wu lian dianfeng ; 무련전봉 ; the pinnacl of martial art ; mp ; ذروة الفنون القتالية ; مارشال بيك', 'momo (ii)', 'ongoing', 'action - adventur - fantasi - harem - martial art - shounen']"
Rosalyn Bogarte,"rosalyn bogart manhwa, ""do you not think the husband is so beauti hi in-law will bring him into sudden wealth?""du to the luxuri spend of the royal and nobl families, the church and state of the calabria kingdom had collapsed. in order to obtain honor, the onli thing they cannot obtain, be bourgeois, the bogart merchant tri to marri off the black sheep of the family, their seco more.[]"
The Runaway Lead Lives Next Door,"seina rohil is a d-class hunter make a live off of kill monstrou fiendsor so she thought. in actuality, she' becom an insignific charact in the novel, ""a secret in the flower shop."" what' more, she happen to be neighbor with the femal lead, ellen euclis! the stori revolv around ellen receiv daili love confess until she meet the male lead. but when seina encount a s more.['도망 여주의 옆집에 살고 있습니다', 'beluha', 'ongoing', 'fantasi - romanc - supernatur - isekai']"
Avoiding the Heavenly Emperor,"bam binee' dream job is the posit of grade 7 civil servant of the celesti palace! luckili for her, the heavenli emperor is seek a wife through the heavenli empress selection, an event that also allow talent ladi to becom civil servants. thus, bine dive into the competition, meet new friend and form allianc at the celesti palace. but as the stake get higher with each ma more.['i did not want to be chosen by the tyrant heavenli emperor ;\ni did not want to be select by the tyrant heavenli emperor ;\n폭군 천제님께 간택되기 싫었습니다만', 'tamhada / iiaki', 'ongoing', 'drama - fantasi - histor - romanc - manhwa']"
A Tipsy Marriage Proposal for the Emperor,"a tipsi marriag propos for the emperor / whether it' beauty, status, or a ph.d, ellier ha it all. but one thing she doesn't have is luck with men, which she discov when her pride fianc dump her for ""be a know-it-all."" enraged, ellier storm to the bar and drunkenli rant about her troubl to a mysteri stranger, whose good look inspir her to ask for hi hand in marriage. u more.[]"
